burst,p256,f1,hr321,hr32,t50,t90 
2831,1.63776,-3.17934,0.58321,0.13639,1.81986,2.17651
1694,0.26788,-6.19368,1.01864,0.67202,-0.77728,-0.41117
207,0.01072,-6.39342,0.83748,0.66618,-1.37675,-1.07058
2206,0.14364,-6.50095,0.94739,0.76773,-0.6925,-0.2204
3523,1.33381,-3.38815,0.74918,0.54879,1.55125,1.77138
1637,-0.24565,-6.44545,1.66587,0.90577,0.18639,0.67541
3910,-0.02965,-7.2184,0.20829,-0.00462,-1.25181,-1.05552
2312,0.17754,-6.24065,0.99598,0.73735,-0.95078,-0.56543
5536,-0.23508,-7.48017,0.55689,0.27897,-1.79588,-1.31876
2448,-0.12205,-6.11553,1.01991,0.98548,-0.35655,-0.11464
3078,0.21245,-5.77781,1.10691,0.767,-0.95078,-0.64975
4660,0.63094,-5.35891,0.98444,0.76338,-0.2161,0.06744
2487,0.16107,-6.22905,1.04055,0.7209,-0.89279,-0.47366
2693,-0.13312,-7.02933,0.88793,0.49729,-0.78516,-0.72584
830,0.34577,-6.18464,0.87666,0.66976,-1.22185,-0.88273
2125,0.97011,-5.3414,0.78238,0.61303,-0.90309,-0.6517
3118,0.07335,-6.56847,0.88726,0.7242,-0.86646,-0.63451
1553,1.03177,-4.96178,0.82891,0.61383,-0.29073,-0.01773
5561,0.86876,-6.34815,0.26745,0.04203,-1.49485,-0.98297
5564,0.44809,-5.75884,0.96034,0.73871,-1.25181,-0.34872
1076,0.43249,-5.95202,0.88373,0.71319,-1.25964,-0.79317
4871,0.09272,-6.81198,0.84549,0.70786,-0.89279,-0.41567
3152,1.1407,-4.91105,0.78098,0.56274,-0.89279,0.25358
2152,-0.13018,-6.43544,-0.54057,-0.85574,0.35025,0.64503
2834,0.80284,-5.52446,0.85571,0.70088,-0.79588,-0.16749
2273,0.97685,-5.54681,0.79435,0.63411,-1.01773,-0.64975
3037,-0.13253,-6.89637,0.68204,0.56198,-1.74473,-1.31876
2156,1.21932,-3.76997,0.63236,0.51399,1.96394,2.18874
3458,0.93867,-4.4313,0.52662,0.34506,2.13476,2.82855
856,-0.1152,-7.13031,0.10544,-0.1027,-0.89279,-0.04769
2850,-0.29757,-6.58393,-0.03438,-0.29327,-0.04769,0.35025
2597,-0.05404,-6.97081,0.81042,0.68624,-0.86646,-0.59176
1453,0.86368,-5.9265,0.82449,0.65557,-0.7167,-0.7167
5471,0.39164,-4.92708,1.13764,0.85293,-0.08938,0.24502
3266,0.14051,-6.57037,0.92372,0.82225,-0.84164,-0.21467
2933,0.83181,-5.42788,0.84428,0.68958,-0.7167,-0.49485
3333,-0.28567,-7.41262,0.56651,0.47228,-1.69897,-1.284
3904,-0.2636,-7.05548,0.65307,0.48752,-1.79588,-1.4437
3735,0.61899,-5.38021,0.99602,0.82205,-0.49485,0.11428
3510,0.01494,-6.99559,0.87164,0.66746,-0.86012,-0.57512
5568,1.1247,-4.39252,0.89018,0.69907,0.25334,0.71466
5560,-0.12726,-6.62671,0.86774,0.86774,-0.73518,-0.3098
568,0.15534,-6.05701,1.04304,0.80383,-1.23657,-0.92445
432,0.12581,-6.14927,0.87279,0.69104,-1.85387,-1.46852
5339,0.84572,-5.0368,0.90852,0.70631,-0.34872,-0.07988
3902,0.62138,-5.89639,0.90901,0.70618,-0.89279,-0.7167
5448,0.00087,-5.97204,1.27409,1.19921,-0.29073,-0.04769
677,0.27254,-5.79215,0.93622,0.80661,-1.52288,-1.25964
5477,1.37793,-3.95407,0.8681,0.64358,0.1284,1.23269
2633,-0.14997,-6.56549,1.24249,0.78287,-0.17263,0.1486
3487,-0.14813,-6.42498,1.03208,0.82967,-0.57512,-0.19246
2815,-0.01547,-4.75985,-0.23377,-0.52612,2.02129,2.11973
3342,-0.14327,-6.42053,0.8472,0.8045,-1.284,-0.93554
5277,0.86451,-5.52649,0.88841,0.76297,-0.7167,-0.30452
2873,-0.19518,-7.37216,0.66024,0.63924,-1.35655,-1.07572
2449,-0.22841,-6.5035,0.98785,0.6615,-1.01773,-0.68194
5576,-0.12205,-6.72719,0.84789,0.76797,-0.95078,-0.7167
1719,0.44685,-5.72498,1.16057,0.91377,-0.65365,0.01995
2288,-0.09963,-6.84792,0.98896,0.73809,-0.59176,-0.34872
878,0.03941,-6.306,1.10076,0.97546,-0.59176,-0.41567
3810,-0.01233,-6.61883,0.8384,0.76731,-1.35655,-1.11919
3137,-0.30892,-6.51998,0.75646,0.75646,-1.39794,-1.19382
834,-0.44491,-7.11517,1.21414,0.34286,-0.11464,0.03663
2332,-0.33348,-7.03024,0.69764,0.54356,-1.61979,-1.284
2690,0.01912,-6.50735,1.01992,0.80723,-0.89279,-0.69897
3889,-0.02365,-6.66091,0.86048,0.68957,-1.55284,-1.22185
5562,0.17696,-6.43464,0.98487,0.8349,-1.01773,-0.79588
1463,0.2927,-6.90444,0.11453,-0.18928,-0.89279,-0.7167
2980,-0.16813,-6.46156,-0.43609,-0.7452,0.06595,0.46
2217,0.47929,-5.33531,1.1528,0.91612,-0.49349,-0.1831
5527,0.65312,-5.17135,1.02262,0.83256,-0.44733,-0.08619
3742,-0.05849,-6.09015,1.22507,1.06254,-0.59176,-0.34872
2615,-0.29757,-6.75645,0.73436,0.5432,-1.92082,-1.55284
2146,0.04805,-6.43051,1.07933,0.81675,-1.05061,-0.60555
491,-0.41341,-5.92696,0.90877,0.77006,-1.40894,-1
1886,1.21397,-4.00364,0.80171,0.67791,0.56205,2.44046
3921,0.50161,-5.87104,1.0392,0.93156,-0.7167,-0.33348
2003,0.1452,-6.61685,1.11989,0.77953,-0.89963,-0.28233
3027,0.0249,-6.04339,1.09868,0.9369,-1.37675,-0.92082
2159,-0.35556,-7.79846,0.71361,0.35174,-1.58503,-1.29243
2161,-0.11407,-6.69712,0.90831,0.77114,-1.39794,-0.75203
3799,-0.21681,-7.36049,0.92142,0.43007,-1.31876,-1.01773
